Date,Description,Amount
08/01/2026,DIRECT DEP PAYROLL COMPANY,3150.00
08/01/2026,RIDGELINE APARTMENTS RENT,-1875.00
08/02/2026,SPOTIFY USA,-11.99
08/02/2026,SUNNYSIDE DISPENSARY #4,-64.25
08/02/2026,DOORDASH*SZECHUAN HOUSE,-38.10
08/03/2026,MOHELA STUDENT LN PMT,-312.00
08/03/2026,BLUE BOTTLE COFFEE,-6.75
08/04/2026,NETFLIX.COM,-22.99
08/05/2026,TRADER JOE'S #182,-87.43
08/07/2026,"THE ANCHOR TAVERN, LLC",-72.00
08/07/2026,UBER *TRIP HELP.UBER.COM,-24.80
08/07/2026,STOCKX.COM,-215.00
08/08/2026,LA COLOMBE COFFEE,-6.50
08/09/2026,TOTAL WINE & MORE,-58.20
08/10/2026,SWEETGREEN 0431,-16.85
08/12/2026,LULULEMON ATHLETICA,-128.00
08/14/2026,CURALEAF DISPENSARY,-81.50
08/14/2026,UBER EATS,-41.20
08/15/2026,DIRECT DEP PAYROLL COMPANY,3150.00
08/15/2026,T-MOBILE POSTPAID,-85.00
